epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1010.85,1.04826,0.69779,0.95557,0.7557,0.70506,0.79004,0.53383,1.00463,0.71975,0.93615,0.00120491,0.00120491,0.00120491
58,1028,1.05947,0.70969,0.95946,0.78006,0.71233,0.78981,0.53142,1.01107,0.73344,0.94139,0.00119666,0.00119666,0.00119666
59,1045.85,1.05497,0.69816,0.95338,0.76797,0.68351,0.77462,0.53361,1.00167,0.72841,0.93594,0.0011884,0.0011884,0.0011884
60,1063.79,1.05735,0.70076,0.95605,0.7832,0.72703,0.79793,0.54451,1.00015,0.71176,0.93732,0.00118015,0.00118015,0.00118015
61,1079.74,1.04416,0.69311,0.95209,0.78164,0.66547,0.77317,0.52239,1.00929,0.72597,0.93992,0.0011719,0.0011719,0.0011719
62,1095.94,1.05094,0.69368,0.95349,0.72576,0.71041,0.78727,0.53173,0.98333,0.7106,0.93048,0.00116365,0.00116365,0.00116365
63,1111.59,1.04498,0.69147,0.95412,0.72593,0.73585,0.79552,0.54432,0.98823,0.70659,0.92606,0.0011554,0.0011554,0.0011554
64,1127.52,1.04797,0.69169,0.95176,0.79309,0.7224,0.80368,0.55282,0.96452,0.70521,0.93252,0.00114715,0.00114715,0.00114715
65,1143.55,1.03321,0.68701,0.94906,0.77753,0.72278,0.80686,0.55007,0.97038,0.69366,0.92884,0.00113889,0.00113889,0.00113889
66,1159.93,1.03572,0.68642,0.94818,0.73358,0.75916,0.79962,0.54529,0.99312,0.71406,0.93488,0.00113064,0.00113064,0.00113064
67,1175.82,1.0359,0.68563,0.95076,0.74482,0.71903,0.79502,0.53565,1.01036,0.70548,0.93902,0.00112239,0.00112239,0.00112239
68,1191.67,1.01335,0.67389,0.94386,0.78355,0.69868,0.79304,0.54293,0.99758,0.71077,0.93392,0.00111414,0.00111414,0.00111414
69,1207.45,1.01944,0.67903,0.94585,0.77501,0.6912,0.77837,0.5252,1.00651,0.71834,0.94022,0.00110589,0.00110589,0.00110589
70,1223.72,1.01832,0.67727,0.94681,0.77661,0.71967,0.79374,0.5468,0.96069,0.68433,0.92184,0.00109764,0.00109764,0.00109764
71,1239.65,1.03556,0.67974,0.94851,0.79408,0.74614,0.80413,0.55234,1.00256,0.69385,0.93601,0.00108938,0.00108938,0.00108938
72,1255.62,1.01414,0.67014,0.94109,0.74128,0.72363,0.78838,0.539,0.98913,0.69612,0.9399,0.00108113,0.00108113,0.00108113
73,1271.37,1.0103,0.67134,0.9425,0.75887,0.69348,0.79267,0.54801,0.95198,0.67382,0.92658,0.00107288,0.00107288,0.00107288
74,1287.2,1.01262,0.66874,0.9428,0.71929,0.75819,0.79847,0.53715,0.98845,0.69231,0.93579,0.00106463,0.00106463,0.00106463
75,1303.16,1.00918,0.6649,0.93594,0.77252,0.73399,0.80582,0.54712,0.98621,0.68928,0.9306,0.00105638,0.00105638,0.00105638
76,1319.15,1.0053,0.6675,0.94202,0.7688,0.75625,0.811,0.56376,0.9532,0.66613,0.92674,0.00104813,0.00104813,0.00104813
77,1334.84,0.97934,0.65584,0.94105,0.75498,0.73808,0.79423,0.54697,0.95772,0.67689,0.92744,0.00103987,0.00103987,0.00103987
78,1350.79,0.99857,0.66348,0.94012,0.7416,0.76388,0.80364,0.55058,0.9661,0.67181,0.92981,0.00103162,0.00103162,0.00103162
79,1367.12,0.99166,0.65714,0.93416,0.79656,0.71639,0.79964,0.55253,0.97599,0.6648,0.93024,0.00102337,0.00102337,0.00102337
80,1383.19,0.99777,0.66046,0.93649,0.77389,0.68931,0.79274,0.54355,0.96134,0.68442,0.92611,0.00101512,0.00101512,0.00101512
81,1399.13,1.00073,0.65956,0.93662,0.74946,0.75818,0.81241,0.56649,0.91564,0.6488,0.91407,0.00100687,0.00100687,0.00100687
82,1415.34,0.99365,0.65684,0.9352,0.77783,0.70997,0.79722,0.55303,0.9569,0.67717,0.92518,0.000998616,0.000998616,0.000998616
83,1431.44,1.00095,0.6604,0.93485,0.79893,0.74336,0.81682,0.57545,0.93018,0.65513,0.9204,0.000990365,0.000990365,0.000990365
84,1447.69,0.98275,0.6467,0.93396,0.76498,0.74592,0.80762,0.56961,0.94837,0.65761,0.92184,0.000982113,0.000982113,0.000982113
85,1463.43,0.98655,0.65859,0.93571,0.817,0.71875,0.81271,0.5643,0.94395,0.65837,0.91873,0.000973861,0.000973861,0.000973861
86,1479.8,0.98871,0.65395,0.93551,0.7418,0.74301,0.79461,0.55136,0.93265,0.662,0.91392,0.00096561,0.00096561,0.00096561
87,1495.83,0.98159,0.64957,0.93152,0.78163,0.72522,0.81002,0.55543,0.95251,0.67142,0.91796,0.000957358,0.000957358,0.000957358
88,1511.98,0.97258,0.64659,0.93083,0.77911,0.71483,0.79951,0.55856,0.9345,0.66148,0.91702,0.000949106,0.000949106,0.000949106
89,1527.95,0.98468,0.65084,0.93237,0.7741,0.75116,0.8067,0.5566,0.94433,0.66778,0.91951,0.000940855,0.000940855,0.000940855
90,1544.36,0.97724,0.64492,0.9296,0.78947,0.73494,0.80257,0.54996,0.95798,0.66237,0.92455,0.000932603,0.000932603,0.000932603
91,1560.42,0.96625,0.64495,0.93214,0.75914,0.74372,0.80387,0.56467,0.93373,0.65731,0.92018,0.000924352,0.000924352,0.000924352
92,1576.72,0.96557,0.63528,0.92552,0.77226,0.71946,0.79778,0.55343,0.93642,0.67014,0.91941,0.0009161,0.0009161,0.0009161
93,1592.73,0.97024,0.64405,0.92767,0.77506,0.7491,0.81239,0.56206,0.93523,0.66351,0.91964,0.000907848,0.000907848,0.000907848
94,1608.49,0.96407,0.63918,0.93056,0.71472,0.75225,0.80065,0.55438,0.9829,0.67046,0.92579,0.000899597,0.000899597,0.000899597
95,1624.41,0.97227,0.64121,0.92771,0.76293,0.7535,0.80886,0.56953,0.93752,0.6596,0.91761,0.000891345,0.000891345,0.000891345
96,1640.09,0.96817,0.64077,0.92848,0.78321,0.75046,0.81416,0.5731,0.91683,0.65326,0.91113,0.000883093,0.000883093,0.000883093
97,1656.25,0.96578,0.63879,0.92448,0.79009,0.74714,0.81439,0.56709,0.93504,0.64892,0.91591,0.000874842,0.000874842,0.000874842
98,1672.28,0.955,0.63287,0.92706,0.77539,0.75178,0.8142,0.57774,0.91825,0.64705,0.911,0.00086659,0.00086659,0.00086659
99,1688.23,0.95152,0.631,0.92247,0.77176,0.73986,0.81162,0.56499,0.93437,0.64617,0.91905,0.000858338,0.000858338,0.000858338
100,1704.69,0.95622,0.63592,0.92584,0.80239,0.69306,0.80135,0.55773,0.93682,0.66217,0.92092,0.000850087,0.000850087,0.000850087
101,1721.01,0.96206,0.63368,0.92363,0.75854,0.75293,0.80183,0.56295,0.93615,0.64679,0.91641,0.000841835,0.000841835,0.000841835
102,1737.17,0.95293,0.63535,0.92428,0.77695,0.75061,0.81613,0.56052,0.95382,0.67345,0.92031,0.000833583,0.000833583,0.000833583
103,1753.08,0.94054,0.63046,0.92296,0.77842,0.75721,0.82105,0.57524,0.90544,0.64116,0.90972,0.000825332,0.000825332,0.000825332
104,1768.77,0.95279,0.63412,0.92386,0.79375,0.71831,0.82073,0.57553,0.89612,0.6355,0.90781,0.00081708,0.00081708,0.00081708
105,1784.44,0.9475,0.62893,0.92009,0.80349,0.73984,0.81984,0.57916,0.92225,0.63676,0.9122,0.000808828,0.000808828,0.000808828
106,1800.63,0.95194,0.63028,0.92282,0.75525,0.77885,0.82059,0.57932,0.90272,0.63754,0.90727,0.000800577,0.000800577,0.000800577
107,1816.62,0.93787,0.62346,0.92104,0.75593,0.7474,0.80672,0.56551,0.92503,0.64955,0.91445,0.000792325,0.000792325,0.000792325
108,1832.89,0.94281,0.62856,0.9231,0.79422,0.74594,0.81876,0.57255,0.91964,0.64648,0.9111,0.000784073,0.000784073,0.000784073
109,1849.5,0.94476,0.63073,0.92535,0.78314,0.74525,0.8137,0.56823,0.90868,0.64184,0.91221,0.000775822,0.000775822,0.000775822
110,1865.95,0.93241,0.61942,0.91293,0.79201,0.71676,0.80894,0.5731,0.89816,0.65178,0.91286,0.00076757,0.00076757,0.00076757
111,1882.15,0.94168,0.622,0.91787,0.79374,0.76074,0.81946,0.56779,0.91808,0.65007,0.9139,0.000759318,0.000759318,0.000759318
112,1898.18,0.9396,0.61984,0.91825,0.80208,0.73318,0.81462,0.57291,0.89618,0.65184,0.90707,0.000751067,0.000751067,0.000751067
113,1913.81,0.92376,0.61503,0.9182,0.76903,0.73597,0.81514,0.57135,0.91246,0.63993,0.91054,0.000742815,0.000742815,0.000742815
114,1929.7,0.9278,0.61615,0.91571,0.7857,0.77248,0.83274,0.58428,0.89965,0.63116,0.90715,0.000734564,0.000734564,0.000734564
115,1945.82,0.92341,0.60929,0.91325,0.7934,0.75405,0.82579,0.58155,0.90343,0.6334,0.9097,0.000726312,0.000726312,0.000726312
116,1961.97,0.93193,0.61872,0.91782,0.79724,0.70492,0.80412,0.55823,0.93112,0.66071,0.91352,0.00071806,0.00071806,0.00071806
117,1978.14,0.94085,0.61914,0.917,0.78604,0.73459,0.82003,0.57381,0.91124,0.64196,0.90852,0.000709809,0.000709809,0.000709809
118,1994.39,0.91148,0.60811,0.91319,0.78981,0.76269,0.83329,0.58143,0.88712,0.62786,0.90485,0.000701557,0.000701557,0.000701557
119,2010.8,0.91656,0.6096,0.91407,0.78545,0.73659,0.81426,0.57399,0.88829,0.64394,0.90716,0.000693305,0.000693305,0.000693305
120,2026.62,0.91048,0.60826,0.91239,0.75238,0.77871,0.81547,0.57334,0.89316,0.6348,0.90696,0.000685054,0.000685054,0.000685054
121,2042.71,0.92876,0.61366,0.91432,0.81046,0.73561,0.82069,0.58069,0.89685,0.63143,0.91306,0.000676802,0.000676802,0.000676802
122,2058.86,0.91949,0.60906,0.91228,0.75206,0.76613,0.82009,0.58025,0.89667,0.649,0.91065,0.00066855,0.00066855,0.00066855
123,2075.02,0.92387,0.61199,0.91343,0.75875,0.76688,0.81411,0.56792,0.89602,0.62552,0.9077,0.000660299,0.000660299,0.000660299
124,2090.88,0.91746,0.60606,0.91421,0.78736,0.7516,0.82203,0.58359,0.88137,0.6284,0.90436,0.000652047,0.000652047,0.000652047
125,2106.91,0.91519,0.61053,0.91282,0.78617,0.75396,0.82424,0.59016,0.88107,0.62919,0.904,0.000643795,0.000643795,0.000643795
126,2122.97,0.92187,0.61112,0.91411,0.80665,0.74872,0.82974,0.58724,0.88909,0.62171,0.90477,0.000635544,0.000635544,0.000635544
127,2138.78,0.90466,0.60321,0.90928,0.75663,0.76445,0.81545,0.58599,0.88225,0.62105,0.90959,0.000627292,0.000627292,0.000627292
128,2154.75,0.89583,0.59788,0.90766,0.77981,0.73603,0.81923,0.57948,0.90038,0.63476,0.90664,0.00061904,0.00061904,0.00061904
129,2170.49,0.91193,0.60593,0.91096,0.7832,0.74573,0.81805,0.58451,0.894,0.61644,0.90595,0.000610789,0.000610789,0.000610789
130,2186.75,0.89906,0.59841,0.90739,0.78952,0.72219,0.81173,0.57936,0.88146,0.63082,0.90269,0.000602537,0.000602537,0.000602537
131,2203.02,0.89811,0.60074,0.90961,0.78069,0.74689,0.81687,0.57952,0.89248,0.62574,0.9081,0.000594286,0.000594286,0.000594286
132,2219.07,0.9103,0.60004,0.90514,0.78599,0.75108,0.8229,0.58749,0.88108,0.62361,0.90565,0.000586034,0.000586034,0.000586034
