epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,750.262,0.97112,0.64704,0.92687,0.88762,0.47513,0.51941,0.35506,0.95859,0.67898,0.94598,0.000742866,0.000742866,0.000742866
99,757.798,0.96182,0.64416,0.9252,0.91245,0.46859,0.52424,0.36552,0.91985,0.65595,0.93884,0.000735792,0.000735792,0.000735792
100,765.377,0.96771,0.64044,0.92379,0.90631,0.4675,0.5227,0.35298,0.93407,0.6686,0.94541,0.000728719,0.000728719,0.000728719
101,772.979,0.96072,0.63885,0.92402,0.86906,0.46225,0.51978,0.35213,0.92454,0.66142,0.94273,0.000721645,0.000721645,0.000721645
102,780.522,0.9558,0.64088,0.92284,0.90428,0.4387,0.50391,0.34276,0.93463,0.66441,0.94625,0.000714571,0.000714571,0.000714571
103,788.026,0.95333,0.63829,0.92276,0.8703,0.45937,0.50427,0.35106,0.91624,0.657,0.93564,0.000707498,0.000707498,0.000707498
104,795.601,0.95397,0.63634,0.92235,0.89072,0.47807,0.52791,0.36998,0.92813,0.6545,0.93886,0.000700424,0.000700424,0.000700424
105,803.253,0.95337,0.63596,0.92393,0.88089,0.49297,0.53781,0.37037,0.90016,0.64543,0.93275,0.000693351,0.000693351,0.000693351
106,810.877,0.95352,0.63625,0.92211,0.86445,0.49652,0.5282,0.36791,0.91896,0.65924,0.94022,0.000686277,0.000686277,0.000686277
107,818.599,0.94581,0.62761,0.91801,0.89879,0.45748,0.51779,0.36003,0.92373,0.65046,0.93606,0.000679204,0.000679204,0.000679204
108,826.024,0.93841,0.62943,0.91907,0.90221,0.44877,0.52668,0.36627,0.90592,0.64498,0.93865,0.00067213,0.00067213,0.00067213
109,833.719,0.92223,0.61995,0.91701,0.89203,0.47121,0.53334,0.36693,0.9103,0.64707,0.93952,0.000665057,0.000665057,0.000665057
110,841.281,0.93816,0.63102,0.92124,0.90076,0.45741,0.53158,0.36787,0.90989,0.6444,0.93621,0.000657983,0.000657983,0.000657983
111,849.108,0.93995,0.6308,0.91876,0.89971,0.4483,0.51084,0.35255,0.91032,0.64873,0.94296,0.000650909,0.000650909,0.000650909
112,856.888,0.94456,0.63193,0.91959,0.89131,0.46624,0.51624,0.35751,0.92126,0.65029,0.94099,0.000643836,0.000643836,0.000643836
113,864.598,0.94036,0.62662,0.91707,0.87558,0.4795,0.52741,0.35858,0.9117,0.65307,0.93909,0.000636762,0.000636762,0.000636762
114,872.225,0.94243,0.62724,0.91825,0.89546,0.46945,0.51983,0.35732,0.89957,0.64552,0.9356,0.000629689,0.000629689,0.000629689
115,879.878,0.93211,0.62033,0.91361,0.87841,0.4754,0.52733,0.36112,0.89786,0.63707,0.93619,0.000622615,0.000622615,0.000622615
116,887.464,0.93209,0.62266,0.91613,0.897,0.46623,0.51718,0.35855,0.90881,0.64434,0.9393,0.000615542,0.000615542,0.000615542
117,895.023,0.94157,0.62407,0.91552,0.87129,0.45969,0.51382,0.35233,0.91855,0.65934,0.93978,0.000608468,0.000608468,0.000608468
118,902.732,0.93067,0.61791,0.91608,0.88674,0.45242,0.51741,0.36017,0.91197,0.65707,0.94235,0.000601395,0.000601395,0.000601395
119,910.325,0.93011,0.61908,0.9164,0.89699,0.45935,0.51851,0.36086,0.8925,0.63687,0.93297,0.000594321,0.000594321,0.000594321
120,917.874,0.92417,0.61979,0.91451,0.88919,0.47366,0.52686,0.36563,0.88619,0.63717,0.93173,0.000587248,0.000587248,0.000587248
121,925.427,0.92292,0.61867,0.9147,0.87199,0.44667,0.50527,0.34772,0.91027,0.64731,0.93826,0.000580174,0.000580174,0.000580174
122,933.135,0.92934,0.61761,0.91367,0.90597,0.45453,0.52083,0.36432,0.89034,0.63791,0.93204,0.0005731,0.0005731,0.0005731
123,940.742,0.93607,0.61825,0.91319,0.921,0.46464,0.52832,0.36667,0.88944,0.63509,0.93092,0.000566027,0.000566027,0.000566027
124,948.335,0.91025,0.61249,0.91152,0.91422,0.46572,0.52744,0.36433,0.89304,0.63659,0.93566,0.000558953,0.000558953,0.000558953
125,955.925,0.91655,0.61322,0.91008,0.91406,0.46127,0.52632,0.36545,0.87966,0.62951,0.9315,0.00055188,0.00055188,0.00055188
126,963.611,0.91726,0.6119,0.9103,0.89569,0.46686,0.52741,0.36987,0.88137,0.6335,0.93181,0.000544806,0.000544806,0.000544806
127,971.146,0.9231,0.61205,0.91082,0.90072,0.46579,0.52534,0.36413,0.88666,0.62641,0.93261,0.000537733,0.000537733,0.000537733
128,978.671,0.92142,0.61306,0.91165,0.89555,0.47238,0.53107,0.37547,0.8834,0.62591,0.93133,0.000530659,0.000530659,0.000530659
129,986.35,0.913,0.60901,0.9075,0.87107,0.48319,0.52846,0.36967,0.88544,0.62829,0.93164,0.000523586,0.000523586,0.000523586
130,993.94,0.90675,0.60602,0.90713,0.91357,0.45858,0.51963,0.36421,0.86948,0.62008,0.92491,0.000516512,0.000516512,0.000516512
131,1001.47,0.90799,0.61183,0.90699,0.91924,0.45646,0.52357,0.36667,0.87219,0.62255,0.92986,0.000509438,0.000509438,0.000509438
132,1009.11,0.91077,0.606,0.90888,0.91967,0.45257,0.52841,0.3731,0.87286,0.6155,0.92984,0.000502365,0.000502365,0.000502365
133,1016.65,0.88913,0.59828,0.90829,0.906,0.47726,0.53047,0.37388,0.8974,0.63197,0.93395,0.000495291,0.000495291,0.000495291
134,1024.31,0.9089,0.60782,0.90962,0.90868,0.44725,0.52342,0.37008,0.87495,0.62559,0.9257,0.000488218,0.000488218,0.000488218
135,1032.03,0.91742,0.611,0.90918,0.89441,0.47741,0.53011,0.37554,0.86975,0.61954,0.92958,0.000481144,0.000481144,0.000481144
136,1039.76,0.89208,0.60059,0.90717,0.87641,0.48544,0.53327,0.37306,0.86984,0.62052,0.92941,0.000474071,0.000474071,0.000474071
137,1047.31,0.90364,0.60373,0.90527,0.8968,0.47821,0.52511,0.36502,0.88975,0.63392,0.93058,0.000466997,0.000466997,0.000466997
138,1054.82,0.90462,0.60304,0.9087,0.89079,0.46837,0.52182,0.36244,0.88181,0.62726,0.93002,0.000459924,0.000459924,0.000459924
139,1062.64,0.90978,0.60004,0.90577,0.89466,0.47701,0.52597,0.37102,0.87073,0.61937,0.92781,0.00045285,0.00045285,0.00045285
140,1070.02,0.90305,0.60329,0.90712,0.86623,0.49102,0.52599,0.3649,0.86654,0.62339,0.92512,0.000445777,0.000445777,0.000445777
141,1077.48,0.89745,0.5991,0.90575,0.87569,0.47616,0.52988,0.37784,0.86074,0.62216,0.92705,0.000438703,0.000438703,0.000438703
142,1085.02,0.89521,0.59936,0.90619,0.92421,0.44234,0.52634,0.36525,0.87162,0.61943,0.92711,0.000431629,0.000431629,0.000431629
143,1092.62,0.89867,0.59693,0.90398,0.90414,0.47122,0.52912,0.37298,0.87087,0.61336,0.92813,0.000424556,0.000424556,0.000424556
144,1100.31,0.87747,0.58963,0.90261,0.91188,0.4615,0.5301,0.37615,0.85152,0.61561,0.92419,0.000417482,0.000417482,0.000417482
145,1107.81,0.89974,0.59834,0.90472,0.90614,0.46277,0.53083,0.37485,0.85674,0.6175,0.92748,0.000410409,0.000410409,0.000410409
146,1115.17,0.88544,0.59561,0.90419,0.89472,0.46634,0.53003,0.36464,0.8595,0.61473,0.92539,0.000403335,0.000403335,0.000403335
