epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,562.095,0.88143,0.57659,0.90496,0.86148,0.73605,0.82066,0.59995,0.79911,0.57368,0.91281,0.0094654,0.0094654,0.0094654
56,572.203,0.88128,0.57463,0.90135,0.86019,0.75755,0.83468,0.61614,0.7935,0.57695,0.91323,0.0094555,0.0094555,0.0094555
57,582.399,0.85968,0.56616,0.90068,0.80626,0.7698,0.83141,0.60305,0.79581,0.58165,0.91385,0.0094456,0.0094456,0.0094456
58,592.415,0.86148,0.57087,0.89991,0.86351,0.73731,0.83096,0.60666,0.80325,0.58725,0.91536,0.0094357,0.0094357,0.0094357
59,602.496,0.86484,0.56871,0.89792,0.88094,0.72101,0.83737,0.60899,0.79208,0.58461,0.91315,0.0094258,0.0094258,0.0094258
60,612.85,0.84954,0.56187,0.89886,0.84074,0.76562,0.82621,0.6012,0.8097,0.5843,0.91591,0.0094159,0.0094159,0.0094159
61,622.918,0.85504,0.56171,0.89641,0.88629,0.75195,0.82703,0.60279,0.81246,0.58667,0.91725,0.009406,0.009406,0.009406
62,633.2,0.85847,0.56357,0.89916,0.83796,0.76575,0.83705,0.60811,0.80177,0.58105,0.91339,0.0093961,0.0093961,0.0093961
63,643.092,0.85908,0.56901,0.89707,0.83159,0.75611,0.8403,0.61649,0.80428,0.58421,0.91731,0.0093862,0.0093862,0.0093862
64,653.246,0.85219,0.56167,0.89829,0.83822,0.76,0.8354,0.61257,0.79159,0.57537,0.91264,0.0093763,0.0093763,0.0093763
65,663.026,0.85209,0.55848,0.89729,0.8349,0.74875,0.81802,0.61691,0.77874,0.56539,0.90895,0.0093664,0.0093664,0.0093664
66,673.84,0.85119,0.55757,0.89463,0.87966,0.72085,0.8197,0.62237,0.77402,0.57202,0.90491,0.0093565,0.0093565,0.0093565
67,683.717,0.84803,0.55815,0.89366,0.82755,0.77203,0.83647,0.61558,0.78007,0.56427,0.9108,0.0093466,0.0093466,0.0093466
68,694.334,0.84369,0.55708,0.89364,0.83538,0.76,0.82069,0.59994,0.79932,0.57745,0.91704,0.0093367,0.0093367,0.0093367
69,704.372,0.83804,0.55636,0.89539,0.88998,0.7217,0.82339,0.59979,0.77794,0.57166,0.90843,0.0093268,0.0093268,0.0093268
70,714.38,0.82878,0.54993,0.89088,0.85682,0.77157,0.83913,0.62532,0.76503,0.56185,0.9046,0.0093169,0.0093169,0.0093169
71,725.185,0.83315,0.55188,0.89066,0.86254,0.74322,0.82619,0.61591,0.76096,0.56124,0.90427,0.009307,0.009307,0.009307
72,735.481,0.83354,0.5512,0.89074,0.86914,0.72354,0.82614,0.60864,0.78134,0.56546,0.91207,0.0092971,0.0092971,0.0092971
73,745.619,0.83475,0.54734,0.88926,0.83588,0.77203,0.83587,0.62653,0.76523,0.5625,0.90974,0.0092872,0.0092872,0.0092872
74,756.547,0.82507,0.54609,0.88887,0.87951,0.73173,0.83056,0.62254,0.76812,0.56076,0.91095,0.0092773,0.0092773,0.0092773
75,766.676,0.82509,0.5495,0.89029,0.85544,0.75039,0.83104,0.62898,0.76582,0.56094,0.9088,0.0092674,0.0092674,0.0092674
76,777.027,0.81177,0.55365,0.88845,0.85084,0.78051,0.83977,0.62603,0.7676,0.56634,0.90818,0.0092575,0.0092575,0.0092575
77,787.157,0.82693,0.54307,0.88735,0.81489,0.77427,0.84307,0.61902,0.7773,0.56503,0.90713,0.0092476,0.0092476,0.0092476
78,797.272,0.82055,0.54203,0.88689,0.86367,0.73781,0.82779,0.6159,0.7555,0.55582,0.9006,0.0092377,0.0092377,0.0092377
79,807.962,0.81673,0.53317,0.8849,0.83974,0.77902,0.84404,0.61615,0.75148,0.55719,0.90326,0.0092278,0.0092278,0.0092278
80,818.019,0.81496,0.54203,0.8867,0.85035,0.77243,0.84402,0.63065,0.75844,0.55531,0.90542,0.0092179,0.0092179,0.0092179
81,828.681,0.80769,0.54036,0.88861,0.86599,0.73792,0.8354,0.61907,0.76757,0.56151,0.90579,0.009208,0.009208,0.009208
82,838.728,0.81879,0.54444,0.88531,0.8311,0.72461,0.80062,0.59479,0.77217,0.56374,0.90996,0.0091981,0.0091981,0.0091981
83,849.104,0.81045,0.53311,0.88381,0.84008,0.7702,0.84875,0.63149,0.76572,0.55602,0.90519,0.0091882,0.0091882,0.0091882
84,859.642,0.80872,0.53715,0.88404,0.84463,0.73626,0.83601,0.61567,0.76124,0.55361,0.90525,0.0091783,0.0091783,0.0091783
85,869.726,0.80349,0.53629,0.88323,0.85691,0.72361,0.82012,0.61043,0.76662,0.55878,0.90705,0.0091684,0.0091684,0.0091684
86,880.066,0.80142,0.53417,0.88408,0.83875,0.75118,0.82376,0.61562,0.7537,0.55054,0.9034,0.0091585,0.0091585,0.0091585
87,890.467,0.81906,0.53499,0.88444,0.89702,0.72222,0.83857,0.62419,0.75624,0.55985,0.90445,0.0091486,0.0091486,0.0091486
88,900.954,0.79661,0.5279,0.88121,0.85806,0.7451,0.83681,0.62554,0.76134,0.55537,0.90653,0.0091387,0.0091387,0.0091387
89,911.348,0.80218,0.53173,0.88039,0.83097,0.74384,0.82479,0.62314,0.74983,0.55641,0.90228,0.0091288,0.0091288,0.0091288
90,921.212,0.7893,0.5363,0.88224,0.86869,0.7383,0.82776,0.60888,0.76383,0.55765,0.90477,0.0091189,0.0091189,0.0091189
91,931.301,0.79514,0.52682,0.88117,0.85114,0.75381,0.82794,0.62057,0.7422,0.55379,0.90061,0.009109,0.009109,0.009109
92,941.331,0.79675,0.52918,0.882,0.85342,0.72879,0.82967,0.61077,0.75169,0.559,0.90392,0.0090991,0.0090991,0.0090991
